fixture_id,api_football_id,date,competition2,Competition_id,home_team,home_team_id,away_team,away_team_id,goals_home,goals_away,status,home_coach,home_coach_api_id,away_coach,away_coach_api_id,home_shots_total,away_shots_total,home_shots_on_goal,away_shots_on_goal,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_blocked_shots,away_blocked_shots,home_penalties,away_penalties,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goals_ht,away_goals_ht
350522,256762,2017-03-28 21:00:00+00:00,FIFA World Cup qualification - CONMEBOL,85,Bolivia,2633,Argentina,1906,2,0,FT,M. Soria,811.0,E. Bauza,3216.0,10.0,15.0,5.0,6.0,6.0,9.0,4.0,6.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0
350523,256763,2017-03-28 22:00:00+00:00,FIFA World Cup qualification - CONMEBOL,85,Ecuador,1905,Colombia,2635,0,2,FT,G. Quinteros,510.0,J. Pekerman,3037.0,7.0,8.0,1.0,3.0,0.0,4.0,7.0,4.0,2.0,2.0,0.0,0.0,4.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0
350726,256284,2017-03-28 22:00:00+00:00,FIFA World Cup qualification - CONCACAF,86,Honduras,2854,Costa Rica,1931,1,1,FT,J. Pinto,2163.0,Ó. Ramírez,3039.0,9.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0
350524,256764,2017-03-28 23:00:00+00:00,FIFA World Cup qualification - CONMEBOL,85,Chile,2630,Venezuela,2631,3,1,FT,Pizzi,1691.0,R. Dudamel,327.0,24.0,16.0,9.0,5.0,17.0,6.0,7.0,10.0,2.0,4.0,0.0,0.0,7.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0
350727,256285,2017-03-29 00:00:00+00:00,FIFA World Cup qualification - CONCACAF,86,Trinidad and Tobago,2845,Mexico,1910,0,1,FT,D. Lawrence,319.0,J. Osorio,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350525,256765,2017-03-29 01:45:00+00:00,FIFA World Cup qualification - CONMEBOL,85,Brazil,1924,Paraguay,2636,3,0,FT,Tite,333.0,F. Arce,661.0,23.0,2.0,7.0,0.0,14.0,1.0,9.0,1.0,7.0,0.0,0.0,0.0,11.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0
350728,256286,2017-03-29 03:05:00+00:00,FIFA World Cup qualification - CONCACAF,86,Panama,2634,United States,1926,1,1,FT,H. Gómez,322.0,B. Arena,1985.0,12.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0
350526,256766,2017-03-29 03:15:00+00:00,FIFA World Cup qualification - CONMEBOL,85,Peru,2629,Uruguay,1920,2,1,FT,R. Gareca,328.0,Ó. Tabárez,362.0,20.0,12.0,3.0,4.0,11.0,10.0,9.0,2.0,6.0,3.0,0.0,0.0,3.0,6.0,4.0,3.0,0.0,1.0,1.0,1.0
350729,256287,2017-06-09 00:00:00+00:00,FIFA World Cup qualification - CONCACAF,86,United States,1926,Trinidad and Tobago,2845,2,0,FT,B. Arena,1985.0,D. Lawrence,319.0,15.0,11.0,9.0,2.0,10.0,7.0,5.0,4.0,1.0,4.0,0.0,0.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0
350730,256288,2017-06-09 02:00:00+00:00,FIFA World Cup qualification - CONCACAF,86,Mexico,1910,Honduras,2854,3,0,FT,J. Osorio,138.0,J. Pinto,2163.0,17.0,5.0,4.0,0.0,10.0,2.0,7.0,3.0,4.0,0.0,0.0,0.0,8.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0
350731,256289,2017-06-09 02:00:00+00:00,FIFA World Cup qualification - CONCACAF,86,Costa Rica,1931,Panama,2634,0,0,FT,Ó. Ramírez,3039.0,H. Gómez,322.0,17.0,9.0,4.0,2.0,11.0,4.0,6.0,5.0,7.0,2.0,0.0,0.0,11.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0
350322,256530,2017-06-09 18:45:00+00:00,FIFA World Cup qualification - UEFA,84,Belarus,1981,Bulgaria,1987,2,1,FT,I. Kriushenko,72.0,P. Hubchev,171.0,9.0,19.0,4.0,6.0,1.0,8.0,8.0,11.0,1.0,4.0,1.0,0.0,5.0,7.0,3.0,2.0,0.0,0.0,1.0,0.0
350323,256531,2017-06-09 18:45:00+00:00,FIFA World Cup qualification - UEFA,84,Netherlands,1901,Luxembourg,1989,5,0,FT,D. Advocaat,3104.0,L. Holtz,177.0,17.0,9.0,10.0,4.0,8.0,1.0,9.0,8.0,2.0,1.0,1.0,0.0,5.0,2.0,1.0,4.0,0.0,0.0,2.0,0.0
